feature,max_delta,mean_delta,n_mismatch,status
education_enc,1.0,0.003534,1,FAIL
sec3_skill_score,0.7,0.02129,29,FAIL
rule_composite,0.6585,0.318502,283,FAIL
sec4_household_risk,0.65,0.021908,31,FAIL
sec4_dependency_risk,0.2925,0.009859,31,FAIL
sec3_hr_score,0.21,0.006563,30,FAIL
sec3_education_norm,0.1111,0.000393,1,FAIL
func_score,0.093,0.002092,28,FAIL
env_score,0.03,0.001004,31,FAIL
sec4_lives_alone,0.0,0.0,0,PASS
sec5_income_norm,0.0,0.0,0,PASS
sec3_community_score,0.0,0.0,0,PASS
sec1_age_risk,0.0,0.0,0,PASS
sec5_income_source_score,0.0,0.0,0,PASS
sec5_eco_stability,0.0,0.0,0,PASS
sec6_phy_score,0.0,0.0,0,PASS
sec6_psy_score,0.0,0.0,0,PASS
sec6_func_score,0.0,0.0,0,PASS
sec6_health_score,0.0,0.0,0,PASS
sec5_real_asset_score,0.0,0.0,0,PASS
sec5_movable_asset_score,0.0,0.0,0,PASS
sec2_family_size_norm,0.0,0.0,0,PASS
sec2_family_support,0.0,0.0,0,PASS
phy_mobility_outside,0.0,0.0,0,PASS
phy_health_limit_r,0.0,0.0,0,PASS
phy_pain_r,0.0,0.0,0,PASS
phy_energy,0.0,0.0,0,PASS
phy_mobility_indoor,0.0,0.0,0,PASS
psych_happiness,0.0,0.0,0,PASS
psych_peace,0.0,0.0,0,PASS
psych_lonely_r,0.0,0.0,0,PASS
env_fin_medical,0.0,0.0,0,PASS
env_fin_household,0.0,0.0,0,PASS
env_fin_personal,0.0,0.0,0,PASS
env_income_limit_r,0.0,0.0,0,PASS
psych_confidence,0.0,0.0,0,PASS
func_independence,0.0,0.0,0,PASS
func_autonomy,0.0,0.0,0,PASS
func_control,0.0,0.0,0,PASS
env_service_access,0.0,0.0,0,PASS
env_home_comfort,0.0,0.0,0,PASS
env_safe_neighborhood,0.0,0.0,0,PASS
env_safe_home,0.0,0.0,0,PASS
soc_opportunity,0.0,0.0,0,PASS
soc_social_support,0.0,0.0,0,PASS
soc_participation,0.0,0.0,0,PASS
soc_close_friend,0.0,0.0,0,PASS
income_enc,0.0,0.0,0,PASS
age,0.0,0.0,0,PASS
soc_respect,0.0,0.0,0,PASS
has_pension,0.0,0.0,0,PASS
community_service_count,0.0,0.0,0,PASS
living_with_count,0.0,0.0,0,PASS
checkup_enc,0.0,0.0,0,PASS
ic_score,0.0,0.0,0,PASS
